tmvcodigo;tmvdescricao;tmvatualiza
1843;"GM/CHEVETTE MARAJO L                              ";"N"
1844;"GM/CHEVETTE MARAJO SL                             ";"N"
1845;"GM/CHEVETTE MARAJO SE                             ";"N"
1846;"GM/CHEVETTE MARAJO SL/E                           ";"N"
1847;"GM/CHEVETTE MARAJO                                ";"N"
1848;"FIAT/ELBA S                                       ";"N"
1849;"FIAT/ELBA CS                                      ";"N"
185;"IMP/KAWASAKI ZX 400K                              ";"N"
1850;"FIAT/ELBA CSL                                     ";"N"
1851;"FIAT/ELBA S 1.6                                   ";"N"
1852;"FIAT/ELBA CSL 1.6                                 ";"N"
1853;"FIAT/ELBA WEEKEND                                 ";"N"
1854;"FIAT/ELBA WEEKEND IE                              ";"N"
1855;"FIAT/ELBA CSL 1.6 MPI                             ";"N"
1856;"FIAT/ELBA CSL IE                                  ";"N"
1857;"FIAT/ELBA TOP                                     ";"N"
1858;"FIAT/ELBA 1.6 IE                                  ";"N"
1859;"FIAT/ELBA                                         ";"N"
186;"IMP/KAWASAKI ZEPHYR 400                           ";"N"
1860;"VW/BABY BUGGY                                     ";"N"
1861;"VW/BABY JEEP LAIO                                 ";"N"
1862;"VW/BABY                                           ";"N"
1863;"ENGESA                                            ";"N"
1864;"VW/DUNNAS                                         ";"N"
1865;"VW/SELVAGEM                                       ";"N"
1866;"VW/HOBBY                                          ";"N"
1867;"VW/TANGER CL                                      ";"N"
1868;"VW/TANGER                                         ";"N"
1869;"VW/ANGRA                                          ";"N"
187;"IMP/KAWASAKI                                      ";"N"
1870;"VW/XODO                                           ";"N"
1871;"VW/COYOTE BAJA BUGGY                              ";"N"
1872;"VW/COYOTE                                         ";"N"
1873;"VW/PRAYANO                                        ";"N"
1874;"VW/BIRD                                           ";"N"
1875;"FORD/DEL REY BELINA L                             ";"N"
1876;"FORD/DEL REY BELINA GL                            ";"N"
1877;"FORD/DEL REY BELINA GLX                           ";"N"
1878;"FORD/DEL REY BELINA GHIA                          ";"N"
1879;"FORD/DEL REY BELINA SE                          ";"N"
188;"IMP/KTM                                           ";"N"
1880;"FORD/DEL REY BELINA 1.8 L                         ";"N"
1881;"FORD/D.REY BELINA 1.8 GLX                         ";"N"
1882;"FORD/D.REY BEL. 1.8 GHIA                          ";"N"
1883;"FORD/DEL REY BELINA 4X4                           ";"N"
1884;"FORD/DEL REY BELINA                               ";"N"
1885;"VW/BAJA BUGG                                      ";"N"
1886;"VW/BRAVO                                          ";"N"
1887;"INCOFER/TANGER CL                                 ";"N"
1888;"INCOFER/TANGER TR                                 ";"N"
1889;"VW/PHANTOM BUGGY                                  ";"N"
189;"IMP/LAMBRETTA                                     ";"N"
1890;"VW/PHANTOM TARGA                                  ";"N"
1891;"VW/PHANTOM                                        ";"N"
1892;"VW/BUGGY SAFARI                                   ";"N"
1893;"ENGESA/EE 12                                      ";"N"
1894;"ENGESA/4 4X4                                      ";"N"
1895;"VW/BAJA BUG RODAO                                 ";"N"
1896;"VW/TOPPY BUGGY                                    ";"N"
1897;"VW/VMV ESPECIAL BUGGY                             ";"N"
1898;"VW/FURY SPORT BUGGY                               ";"N"
1899;"VW/RUMENA BUGGY                                   ";"N"
19;"BP/CYNTHIA                                        ";"N"
190;"IMP/MATCHLESS                                     ";"N"
1900;"VW/TUB-S CAR BUGGY                                ";"N"
1901;"VW/WOOD BUGGY                                     ";"N"
1902;"VW/KAUE BUGGY                                     ";"N"
1903;"VW/ESPECIAL BUGGY                                 ";"N"
1904;"VW/RAGGE AUTOMOVEL                                ";"N"
1905;"CBT/185                                           ";"N"
1906;"VW/BUGGY GIANT'S                                  ";"N"
1907;"VW/ABAIS BUGGY                                    ";"N"
1908;"FARUS/ML 929                                      ";"N"
1909;"FARUS/TS 1.6                                      ";"N"
191;"IMP/MONTESA                                       ";"N"
1910;"FARUS/TS 1.8                                      ";"N"
1911;"FARUS/TS                                          ";"N"
1912;"FARUS/BETA 1.8                                    ";"N"
1913;"FARUS/BETA 2.0                                    ";"N"
1914;"FARUS/BETA                                        ";"N"
1915;"FARUS/CABRIOLET 1.8                               ";"N"
1916;"FARUS/CABRIOLET 2.0                               ";"N"
1917;"FARUS/QUADRO                                      ";"N"
1918;"FARUS/CABRIOLET                                   ";"N"
1919;"VW/PRETTY CALHAMBEQUE                             ";"N"
192;"IMP/MOTOGUZZI                                     ";"N"
1920;"VW/PRETTY DAKAR                                   ";"N"
1921;"VW/ARAGUAIA                                       ";"N"
1922;"VW/COOPER                                         ";"N"
1923;"VW/IPANEMA                                        ";"N"
1924;"MON/BOBBY                                         ";"N"
1925;"MON/MUSTANG                                       ";"N"
1926;"VW/GITANA SABRE                                   ";"N"
1927;"VW/GITANA                                         ";"N"
1928;"VW/CARBUNO                                        ";"N"
1929;"VW/MAUP BUGGY                                     ";"N"
193;"IMP/MZ                                            ";"N"
1930;"VW/RANGER                                         ";"N"
1931;"CRONOS/CROTALUS II*******                         ";"N"
1932;"CRONOS/CROTALUS**********                         ";"N"
1933;"BRM/M6                                            ";"N"
1934;"BRM/M7                                            ";"N"
1935;"BRM/M8                                            ";"N"
1936;"BRM/M10                                           ";"N"
1937;"BRM/M11                                           ";"N"
1938;"BRM                                               ";"N"
1939;"GM/BRASINCA PASSO FINO                            ";"N"
194;"IMP/NORTON                                        ";"N"
1940;"GM/BRASINCA                                       ";"N"
1941;"FYBER/2000                                        ";"N"
1942;"FYBER                                             ";"N"
1943;"L'AUTOCRAFT/THANDER                               ";"N"
1944;"L'AUTOCRAFT/TERRAL                                ";"N"
1945;"L'AUTOCRAFT/VENTURA GTS                           ";"N"
1946;"L'AUTOCRAFT/A ROMEO P3                            ";"N"
1947;"L'AUTOCRAFT/BUGATTI 35B                           ";"N"
1948;"L'AUTOCRAFT/DINO GT 246                           ";"N"
1949;"L'AUTO CRAFT/LC SABRE                             ";"N"
195;"IMP/NSU                                           ";"N"
1950;"L'AUTOCRAFT                                       ";"N"
1951;"VW/SPOILER BUGGY                                  ";"N"
1952;"VW/SPOILER                                        ";"N"
1953;"IMP/M.BENZ 350 SE                                 ";"N"
1954;"IMP/M.BENZ 450 SL                                 ";"N"
1955;"IMP/M.BENZ 220 D                                  ";"N"
1956;"IMP/M.BENZ 300 E                                  ";"N"
1957;"IMP/M.BENZ 350 SL                                 ";"N"
1958;"IMP/M.BENZ 300 CE                                 ";"N"
1959;"IMP/M.BENZ 260 SE                                 ";"N"
196;"IMP/PIAGGIO RUNNER GL 50                          ";"N"
1960;"IMP/M.BENZ 280 S                                  ";"N"
1961;"IMP/M.BENZ 240 D                                  ";"N"
1962;"IMP/M.BENZ 250                                    ";"N"
1963;"IMP/M.BENZ 300 SEL                                ";"N"
1964;"IMP/M.BENZ 230 E                                  ";"N"
1965;"IMP/M.BENZ E320                                   ";"N"
1966;"VW/HAWAI                                          ";"N"
1967;"MON/COSMO BUGGY                                   ";"N"
1968;"MON/FERA                                          ";"N"
1969;"MX                                                ";"N"
197;"IMP/PIAGGIO VESPA OR 150                          ";"N"
1970;"MIURA/TARGA                                       ";"N"
1971;"MIURA/SPIDER                                      ";"N"
1972;"MIURA/SAGA                                        ";"N"
1973;"MIURA/787                                         ";"N"
1974;"MIURA/X-8                                         ";"N"
1975;"MIURA/TOP SPORT                                   ";"N"
1976;"MIURA                                             ";"N"
1977;"EMIS/ART                                          ";"N"
1978;"EMIS/BUGGY                                        ";"N"
1979;"EMIS                                              ";"N"
198;"IMP/PIAGGIO ZIP 50                                ";"N"
1980;"IMP/SAAB 9.000                                    ";"N"
1981;"IMP/SAAB                                          ";"N"
1982;"IMP/STUTZ                                         ";"N"
1983;"VW/MARINER                                        ";"N"
1984;"VW/BERLIM                                         ";"N"
1985;"VW/CARIBE                                         ";"N"
1986;"VW/SAVANA                                         ";"N"
1987;"GURGEL/CARAJAS LE                                 ";"N"
1988;"GURGEL/CARAJAS PLUS                               ";"N"
1989;"GURGEL/CARAJAS VIP                                ";"N"
199;"IMP/PIAGGIO ZIP 50 FD                             ";"N"
1990;"GURGEL/CARAJAS                                    ";"N"
1991;"VW/MIGLIO AMX                                     ";"N"
1992;"VW/MIGLIO                                         ";"N"
1993;"IMP/SUZUKI SWIFT GTI                              ";"N"
1994;"IMP/SUZUKI SWIFT SD                               ";"N"
1995;"IMP/SUZUKI SWIFT HT                               ";"N"
1996;"IMP/SUZUKI SIDEKICK                               ";"N"
1997;"IMP/SUZUKI VITARA                                 ";"N"
1998;"IMP/SUZUKI SAMURAI                                ";"N"
1999;"IMP/SUZUKI SWIFT CV                               ";"N"
2;"AGRALE/DAKAR 30.0                                 ";"N"
20;"BP/LAMBRETTA BR                                   ";"N"
200;"IMP/PIAGGIO                                       ";"N"
2000;"IMP/SUZUKI CARRY VTA                              ";"N"
2001;"IMP/SUZUKI BALENO GLX                             ";"N"
2002;"IMP/SUZUKI BALENO GS                              ";"N"
2003;"IMP/SUZUKI VITARA V6                              ";"N"
2004;"IMP/SUZUKI VITARA JLX                             ";"N"
2005;"IMP/SUZUKI SIDEKICK JA                            ";"N"
2006;"IMP/SUZUKI CARRY VTB                              ";"N"
2007;"IMP/SUZUKI SWIFT 1.0 L                            ";"N"
2008;"IMP/SUZUKI VITARA JLX16V                          ";"N"
2009;"IMP/SUZUKI SIDEKICK JLXS                          ";"N"
201;"IMP/SUZUKI AE 50                                  ";"N"
2010;"IMP/SUZUKI X.90                                   ";"N"
2011;"IMP/SUZUKI BALENO W GLX                           ";"N"
2012;"IMP/SUZUKI VITARA 1.6 JX                          ";"N"
2013;"IMP/SUZUKI                                        ";"N"
2014;"IMP/RUGBY                                         ";"N"
2015;"GIANT'S/BUGGY                                     ";"N"
2016;"GIANT'S                                           ";"N"
